,Id,Sentiment,Pasangan Calon,Text Tweet,clean_teks
452,453,positive,Ahok-Djarot,Hujan Sembako dari Ahok-Djarot Jadi Sedekah bagi Anies-Sandi #PilkadaDKI2017,hujan sembako ahokdjarot sedekah aniessandi pilkadadki
453,454,positive,Ahok-Djarot,"Dalam hitungan saya, pemenang sesungguhnya dalam #PilkadaDKI2017 adalah #AhokDjarot, tapi mereka harus mengalah untuk kepentingan nasional.",hitung menang sungguh pilkadadki ahokdjarot kalah penting nasional
454,455,positive,Ahok-Djarot,terima kasih pak ahok  @basuki_btp #pilkadadki2017,terima kasih ahok basuki btp pilkadadki
455,456,positive,Ahok-Djarot,"Sempat terkejut karena Bapak Ahok kalah dalam versi Quick Count #pilkadadki2017. Tidak apa-apa, tetep keren terus ya pak! Tetap menginspiras",kejut ahok kalah versi quick count pilkadadki apaapa keren ya menginspiras
456,457,positive,Ahok-Djarot,"Jadi serahkan semua takdir kehidupan kepada Tuhan, kita hanya menjalankan sebaik mungkin. Bukan begitu pak @basuki_btp #pilkadadki2017",serah takdir hidup tuhan jalan basuki btp pilkadadki
457,458,positive,Ahok-Djarot,Trimakasih pak @basuki_btp atas kinerja bapak degan pak djarot dalam memimpin dki. #pilkadadki2017,trimakasih basuki btp kerja degan djarot pimpin dki pilkadadki
458,459,positive,Ahok-Djarot,"Melihat para @temanAhok, harapan itu kembali hidup. Mereka akan jadi ahok masa depan. Menyelamatkan NKRI dari tikus berdasi. #pilkadadki2017",temanahok harap hidup ahok selamat nkri tikus das pilkadadki
459,460,positive,Ahok-Djarot,Selamat istirahat pak @basuki_btp Setelah ronde panjang melawan penjahat Anda telah menang #pilkadajakarta #pilkadadki2017 #BasukiDjarot,selamat istirahat basuki btp ronde lawan jahat menang pilkadajakarta pilkadadki basukidjarot
460,461,positive,Ahok-Djarot,Kekuasaan itu Tuhan yang kasih Tuhan juga yang ambil. #TerimakasihPakAhok saya bangga memilih Pak Ahok #pilkadadki2017 #TerimaKasihAhok,kuasa tuhan kasih tuhan ambil terimakasihpakahok bangga pilih ahok pilkadadki terimakasihahok
461,462,positive,Ahok-Djarot,"Yang 1 itu selama kerja sudah terbukti, yang diomongin jadi kenyataan. Yang 1 nya jadi menteri aja dipecat apalagi ini? #pilkadadki2017",kerja bukti diomongin nyata nya menteri pecat pilkadadki
462,463,positive,Ahok-Djarot,"Tidak apa-apa Ahok kalah, supaya sedikit aman. Coba Ahok menang, calo akhirat pada ribet teriak-teriak di monas. #PilkadaDKI #pilkadadki2017",apaapa ahok kalah aman coba ahok menang calo akhirat ribet teriakteriak monas pilkadadki pilkadadki
463,464,positive,Ahok-Djarot,Untuk bpk@basuki_btp terima kasih untuk perjuanganmu selama 5 tahun terakhir. Kami akan terus mendukungmu terbang lebih tinggi lagi.#pilkada,bpkbasuki btp terima kasih juang dukung terbang lagipilkada
464,465,positive,Ahok-Djarot,Artis pendukung Ahok selamati rekannya pendukung Anies http://ow.ly/XvnN30aYrAS  #PilkadaDKI2017,artis dukung ahok selamat rekan dukung anies pilkadadki
465,466,positive,Ahok-Djarot,"Saatnya menerima gubernur baru. Terima kasih kepada gubernur lama. Sudahi perselisihan, mari bersatu untuk maju.#pilkadadki2017",terima gubernur terima kasih gubernur sudah selisih mari satu majupilkadadki
466,467,positive,Ahok-Djarot,Kepemimpinan bapak @ahok membuat saya bangga menjadi bagian dari pegawai pemerintah.Terimakasih pak @ahok #salam2Jari,pimpin ahok bangga pegawai pemerintahterimakasih ahok salamjari
467,468,positive,Ahok-Djarot,@ahok @djarot saya mendukungmu di pilkada ini dengan sepenuh hati. Semoga menang menang merdeka,ahok djarot dukung pilkada sepenuh hati moga menang menang merdeka
468,469,positive,Ahok-Djarot,#pilkadadki2017 sangat mencintaimu pak @ahok. Menanglah dan lanjutkan,pilkadadki cinta ahok menang lanjut
469,470,positive,Ahok-Djarot,#HasilC10 #Ba2ukiDjarot #pilkadadki2017 #MataRakyat #KawalPilkada @basuki_btp @AhokDjarot unggul di TPS 58 Duri Kosambi Cengkareng,hasilc baukidjarot pilkadadki matarakyat kawalpilkada basuki btp ahokdjarot unggul tps duri kosambi cengkareng
470,471,positive,Ahok-Djarot,"Warga Pluit : Kami Pilih Ahok Karena Kerjanya, Bukan Satu Etnis. https://goo.gl/KVN4o5  #pilkadadki2017 #wargapluit @basuki_btp",warga pluit pilih ahok kerja etnis pilkadadki wargapluit basuki btp
471,472,positive,Ahok-Djarot,Selesai untuk beberapa waktu. Kami tetap setia #pilkadadki2017 https://www.instagram.com/p/BTDXsnuDpP9/,selesai setia pilkadadki
472,473,positive,Ahok-Djarot,Usai Nyoblos Ahok Hanya Tersenyum. https://goo.gl/Ea1PNS  #pilkadadki2017 #ahok,nyoblos ahok senyum pilkadadki ahok
473,474,positive,Ahok-Djarot,"Warga bekasi-tangerang-bogor-depok dihimbau agar mencoblos No.3,jangan (((No.2))) Dan bagi SEMUA warga DKI coblos (((No.2))) #PilkadaDki2017",warga bekasitangerangbogordepok dihimbau coblos nojangan nomor warga dki coblos nomor pilkadadki
474,475,positive,Ahok-Djarot,Selamat Pagi Salam 2 Jari untuk #pilkadadki2017 #pilkadajakarta,selamat pagi salam jari pilkadadki pilkadajakarta
475,476,positive,Ahok-Djarot,"Mari kita berdoa, agar mereka semua dengan hati yang bersih coblos paslon no 2 . Berdoa dimulai... #pilkadadki2017",mari doa hati bersih coblos paslon nomor doa pilkadadki
476,477,positive,Ahok-Djarot,"Meski Saya warga Sultra, tetapi Saya dukung Ahok Djarot Untuk Gub.DKI Jakarta #pilkadadki2017 #pilkadajakarta #ahokmenang #ahok",warga sultra dukung ahok djarot gubdki jakarta pilkadadki pilkadajakarta ahokmenang ahok
477,478,positive,Ahok-Djarot,"Apa yang dicari.? Pilih gubernur, yang bisa mimpin jakarta. Bukan yang hanya omong kosong #BesokGuaAhok #pilkadadki2017 #PastikanBesokDua",cari pilih gubernur mimpin jakarta omong kosong besokguaahok pilkadadki pastikanbesokdua
478,479,positive,Ahok-Djarot,satu orang pemimpin yang tahu bagaimana cara memimpin adalah lebih baik dari pada seribu orang yang belajar kepemimpinan #pilkadadki2017,orang pimpin pimpin ribu orang ajar pimpin pilkadadki
479,480,positive,Ahok-Djarot,#PilkadaDKI2017 KH Said Aqil Sebut #Ahok-Djarot Sejalan dengan NU,pilkadadki kh said aqil ahokdjarot jalan nu
480,481,positive,Ahok-Djarot,Kita Butuh Pemimpin BERMUTU Bukan Sebatas penjaja KARTU di #pilkadadki2017 Nanti Semoga @AhokDjarot Sukses dan menang,butuh pimpin mutu batas jaja kartu pilkadadki moga ahokdjarot sukses menang
481,482,positive,Ahok-Djarot,3 hari lagi menuju #pilkadadki2017 .dari provinsi jambi aku turut mengAMINkan tuit ini moga pak purnama @basuki_btp Dan pak hidayat terpilih,pilkadadki provinsi jambi amin tuit moga purnama basuki btp hidayat pilih
482,483,positive,Ahok-Djarot,Iwan Fals saja pilih Ahok Djarot..tahu kan konsistennya Iwan Fals melawan korupsi ? #pilkadadki2017 @Takviri,iwan fals pilih ahok djarottahu konsisten iwan fals lawan korupsi pilkadadki takviri
483,484,positive,Ahok-Djarot,Tanggal 19 pilih dengan hati nurani ya #pilkadadki2017 #BaDjaUntukJakarta,tanggal pilih hati nurani ya pilkadadki badjauntukjakarta
484,485,positive,Ahok-Djarot,#1000Lilin #rizieqpulang #LilinUntukAhok #ahok #AhokDjarot andai saja ini bisa di contoh untuk seluruh indonesia,lilin rizieqpulang lilinuntukahok ahok ahokdjarot andai contoh indonesia
485,486,positive,Ahok-Djarot,Bener banget! Cuma yang nonton concert Coldplay aja yang ngerti #AhokDjarot,bener banget nonton konser coldplay ngerti ahokdjarot
486,487,positive,Ahok-Djarot,"Pelajaran Kesabaran dari ""The Invisible"" Djarot http://kom.ps/AFwLJ5  #AhokSelaluDihati #badja #AhokDjarot #AhokMartir",ajar sabar the invisible djarot ahokselaludihati badja ahokdjarot ahokmartir
487,488,positive,Ahok-Djarot,Apa pendapat anda tentang pak ahok? â€” Pemimpin hebat yang Tuhan utus utk Indonesia #gueahok #ahokdjarot #saveahok http://l.ask.fm/igoto,dapat ahok pimpin hebat tuhan utus indonesia gueahok ahokdjarot saveahok
488,489,positive,Ahok-Djarot,gantungan kunci ahok berbagai model https://www.tokopedia.com/ #ahokfree #AhokIsHope #AhokDjarot #BasukiTjahajaPurnama #BTP #AhokTakBersalah,gantung kunci ahok model ahokfree ahokishope ahokdjarot basukitjahajapurnama btp ahoktakbersalah
489,490,positive,Ahok-Djarot,#freeahok #saveahok #ahokfornobel2017 #ahokdjarot #ahoklovers #ahokbtp #ahok https://www.instagram.com/p/BUBE8R_BJnj/,freeahok saveahok ahokfornobel ahokdjarot ahoklovers ahokbtp ahok
490,491,positive,Ahok-Djarot,"Introspeksi diri #saveahok #ripjustice #basukibtp #ahokdjarot #indonesia @Bogor, Indonesia https://www.instagram.com/p/BUA2fQxlDza/",introspeksi saveahok ripjustice basukibtp ahokdjarot indonesia bogor indonesia
491,492,positive,Ahok-Djarot,Ternyata mencari pemimpin yang dicintai itu tidak gampang.MSP. #AhokDjarot #AhokForNobel #silake5,cari pimpin cinta gampangmsp ahokdjarot ahokfornobel silake
492,493,positive,Ahok-Djarot,Djarot Ucapkan Terima Kasih Atas SYUKURAN AHOK DIPENJARA http://ow.ly/W7im30bFdmB  #ahok #ahokdjarot,djarot ucap terima kasih syukur ahok penjara ahok ahokdjarot
493,494,positive,Ahok-Djarot,Kami mencintaimu Ahok and Djarot! #Ahok #SaveAhok #ahokdjarot,cinta ahok and djarot ahok saveahok ahokdjarot
494,495,positive,Ahok-Djarot,"Doaku Menyertai (Jakarta, May 2017) basukibtp @ahokdjarot #storyofthestreet #ahok #ahokdjarotâ€¦ https://www.instagram.com/p/BT8t9c9jQlx/",doa serta jakarta may basukibtp ahokdjarot storyofthestreet ahok ahokdjarot
495,496,positive,Ahok-Djarot,1000 Lilin untuk pak Ahok #saveahok #ahokers #ahokdjarotâ€¦ https://www.instagram.com/p/BT6m67jFgW4IhB_AXM414EpDGHX3BA4-_8lc5w0/ â€¦,lilin ahok saveahok ahokers ahokdjarot
496,497,positive,Ahok-Djarot,#Ahok #ahokhebat #AhokDjarot #AhokTakBersalah #RIPJUSTICEINDONESIA #politikkotor,ahok ahokhebat ahokdjarot ahoktakbersalah ripjusticeindonesia politikkotor
497,498,positive,Ahok-Djarot,"Mas @addiems , keren banget... Selamat berjuang, NKRI harga mati #SaveAhok #AhokDjarot #RIPJUSTICEINDONESIA",mas addiems keren banget selamat juang nkri harga mati saveahok ahokdjarot ripjusticeindonesia
498,499,positive,Ahok-Djarot,Tugu proklamasi dibawah sinar bulan purnama #ahok #AhokDjarot #ahokfree,tugu proklamasi bawah sinar purnama ahok ahokdjarot ahokfree
499,500,positive,Ahok-Djarot,Dari NTT untuk Bapak Ahok basukibtp #saveahok #ahok #ahokdjarotâ€¦ https://www.instagram.com/p/BT6vCAkD2Odn28TQ0-1W-3a6HiqagNqDh_2T7g0/ â€¦,ntt ahok basukibtp saveahok ahok ahokdjarot
500,501,positive,Ahok-Djarot,Manado 1000 lilin #AhokDjarot #Hukum_yang_telah_mati #NKRI harga mati,manado lilin ahokdjarot hukum yang telah mati nkri harga mati
501,502,positive,Ahok-Djarot,1000 lilin untuk Ahok dari Manado @ManadoKota @temanAhok @basuki_btp @digembok #AhokDjarot #RipJustice #RIPHukum #Manado #saveNKRI,lilin ahok manado manadokota temanahok basuki btp gembok ahokdjarot ripjustice riphukum manado savenkri
502,503,positive,Ahok-Djarot,pak @WagubDKI dan @basuki_btp itu adalah 2 sosok Band of Brothers di kehidupan nyata #DemiAhok #AhokDjarot,wagubdki basuki btp sosok band of brothers hidup nyata demiahok ahokdjarot
503,504,positive,Ahok-Djarot,Sejuta Lilin demi Keadilan #AhokDjarot #lawinforcement #justice #JakartauntukSemua #IndonesiaRaya https://www.instagram.com/p/BT6ioErhYdo/,juta lilin adil ahokdjarot lawinforcement justice jakartauntuksemua indonesiaraya
504,505,positive,Ahok-Djarot,"semoga #AhokDjarot bisa menyelesaikan tugas negaranya sampe oktober pas pelantikan gubernur baru, supaya APBN saat ini tidak diganggu2 amin",moga ahokdjarot selesai tugas negara oktober pas lantik gubernur apbn ganggu amin
505,506,positive,Ahok-Djarot,SALAM SUJUD DAN HORMAT SAYA PADA PAK DJAROT KHABARNYA PENANGGUHAN TAHANAN AHOK DI SETUJUIN DAN MALAM INI PAK AHOK PULANG,salam sujud hormat djarot khabarnya tangguh tahan ahok setujuin malam ahok pulang
506,507,positive,Ahok-Djarot,semoga selalu #tegar #AhokDjarot https://twitter.com/cpdmkrkm/status/862234789859868672,moga tegar ahokdjarot
507,508,positive,Ahok-Djarot,Dukungan Doa dan Pemasangan sejuta Lilin untuk AHOK dari Manado Untuk Indonesia. #SaveAhok #AhokDjarot #RIPJusticeInIndonesia,dukung doa pasang juta lilin ahok manado indonesia saveahok ahokdjarot ripjusticeinindonesia
508,509,positive,Ahok-Djarot,Manado untuk Pak @basuki_btp,manado basuki btp
509,510,positive,Ahok-Djarot,Rakyat Cinta NKRI Perjuangkan Keadilan #justice #lawinforcement #AhokDjarot #JakartauntukSemua @â€¦ https://www.instagram.com/p/BT6eQ61hZfW/,rakyat cinta nkri juang adil justice lawinforcement ahokdjarot jakartauntuksemua
510,511,positive,Ahok-Djarot,Semangat ya pak Djarot.. Doa kami menyertaimu.. #Ahok #AhokDjarot #Djarot #RIPJusticeInIndonesia,semangat ya djarot doa serta ahok ahokdjarot djarot ripjusticeinindonesia
511,512,positive,Ahok-Djarot,Bagi bangsa ini kami berdiri Dan membawa doa dalam kemenangan Tuhan atas Indonesia ini melalui pak #Ahok #AhokDjarot #IndonesiaBerkabung,bangsa diri bawa doa menang tuhan indonesia ahok ahokdjarot indonesiaberkabung
512,513,positive,Ahok-Djarot,Suatu hari nanti orang-orang akan bercerita bahwa BATMAN DAN ROBBIN pernah melindungi jakarta !!#AhokDjarot,orangorang cerita batman robbin lindung jakarta ahokdjarot
513,514,positive,Ahok-Djarot,Perbedaan mana yang kerja keras dan mana yang suka cari muka ! #Ahok #AhokDjarot #freeahok #AhokIsHope #RIPJUSTICEINDONESIA #riphukum,beda kerja keras suka cari muka ahok ahokdjarot freeahok ahokishope ripjusticeindonesia riphukum
514,515,positive,Ahok-Djarot,Dukungan Doa dan Pemasangan Lilin untuk AHOK dari MANADO untuk Indonesia. #SaveAhok #AhokDjarot #AhokPresidenRIke8,dukung doa pasang lilin ahok manado indonesia saveahok ahokdjarot ahokpresidenrike
515,516,positive,Ahok-Djarot,Jerih lelahmu memperjuangkan bangsa ini dari korupsi dan menegakkan kebenaran diperhitungkan oleh Tuhan pak. GBU #Ahok #AhokDjarot #freeahok,jerih lelah juang bangsa korupsi tegak benar hitung tuhan gbu ahok ahokdjarot freeahok
516,517,positive,Ahok-Djarot,Tuhan selalu bersama pak @basuki_btp dan keluarga.kami selalu bersama pak ahok #freeahok #Ahok #keadilan #AhokDjarot,tuhan basuki btp keluargakami ahok freeahok ahok adil ahokdjarot
517,518,positive,Ahok-Djarot,"Tetap semangat pak Djarot, Air matamu akan selalu terkenang, Air mata yang menandakan kecintaanmu untuk Indonesia #Djarot #ahok #ahokDjarot",semangat djarot air mata kenang air mata tanda cinta indonesia djarot ahok ahokdjarot
518,519,positive,Ahok-Djarot,doa kami untuk Jakarta.#AhokDjarot,doa jakartaahokdjarot
519,520,positive,Ahok-Djarot,Paduan suara warga di balai kota #ahokdjarot,padu suara warga balai kota ahokdjarot
520,521,positive,Ahok-Djarot,Apakah ini bukan suatu sejarah? #IndonesiaBersih #AhokDjarot,sejarah indonesiabersih ahokdjarot
521,522,positive,Ahok-Djarot,DEMAM Karangan Bunga Dukung Ahok-Djarot Menjalar hingga Siantar,demam karang bunga dukung ahokdjarot jalar siantar
522,523,positive,Ahok-Djarot,Tidak ada pemimpin di Indonesia Sebaik jujur tegas dan kerja nyata Ahok Djarod is the Best #AhokDjarot,pimpin indonesia jujur kerja nyata ahok djarod is the best ahokdjarot
523,524,positive,Ahok-Djarot,"Integrasi rusun, pasar dan bioskop rakyat semasa #AhokDjarot yang ditunggu kelanjutannya dibawah gubernur baru",integrasi rusun pasar bioskop rakyat ahokdjarot tunggu lanjut bawah gubernur
524,525,positive,Ahok-Djarot,Hampir tengah malam kami sekeluarga lewat balai kota karena anak mau lihat bunga. Ternyata sampai monas! #AhokDjarot,malam keluarga balai kota anak lihat bunga monas ahokdjarot
525,526,positive,Ahok-Djarot,Ribuan Bunga untuk #AhokDjarot #AhokDicintaiRakyat #Jakarta,ribu bunga ahokdjarot ahokdicintairakyat jakarta
526,527,positive,Ahok-Djarot,"#AhokDjarot selalu dihati #BuniYani masuk bui #Anies pecatan menteri, bloon",ahokdjarot hati buniyani masuk bui anies pecat menteri bloon
527,528,positive,Ahok-Djarot,Indonesia harum bunga #AhokDjarot ungkapan seribu bahasa Cinta,indonesia harum bunga ahokdjarot ungkap ribu bahasa cinta
528,529,positive,Ahok-Djarot,Jelas yaaaa.... #bunga bukan abal2... #badja #AhokDjarot #jakarta @ Kantor Balai Kota Jakarta https://www.instagram.com/p/BTgm0rKl2dY/,yaaaa bunga abal badja ahokdjarot jakarta kantor balai kota jakarta
529,530,positive,Ahok-Djarot,ke balaikota DKI Jakarta dan kehabisan kata-kata.. #AhokDjarot,balaikota dki jakarta habis katakata ahokdjarot
530,531,positive,Ahok-Djarot,Bukan hanya di jakarta saja tapi di medan juga #AhokDjarot #AhokDicintaiRakyat #AhokShow #FadliZon #Jakarta,jakarta medan ahokdjarot ahokdicintairakyat ahokshow fadlizon jakarta
531,532,positive,Ahok-Djarot,Karangan bunga untuk ahok Dari kota kecil yang indah.... #Ajibarang #Basuki_btp #Jakarta #Ahok #AhokDjarot #DKIJakarta,karang bunga ahok kota indah ajibarang basuki btp jakarta ahok ahokdjarot dkijakarta
532,533,positive,Ahok-Djarot,"Pemenang sejati adalah pemenang hati Rakyat. Udah kalah masih bisa datangkan rejeki buat tukang bunga,Pak #AhokDjarot #AhokDicintaiRakyat",menang sejati menang hati rakyat kalah datang rejeki tukang bungapak ahokdjarot ahokdicintairakyat
533,534,positive,Ahok-Djarot,"@basuki_btp dan djarot semangat & sehat2 terus. Semoga diakhir masa jabatan ini, masyarakat DKI sadar akan pemimpin sebenarnya. #ahokdjarot",basuki btp djarot semangat sehat moga akhir jabat masyarakat dki sadar pimpin ahokdjarot
534,535,positive,Ahok-Djarot,Betul sekali itu abang yang keren Tuhan berkati #AhokDjarot dan berkati juga abang,abang keren tuhan berkat ahokdjarot berkat abang
535,536,positive,Ahok-Djarot,"Balaikota masih rame, kiriman bunga pun masih terus mengalir untuk #ahok dan #djarot #badja #ahokdjarot",balaikota ramai kirim bunga alir ahok djarot badja ahokdjarot
536,537,positive,Ahok-Djarot,Hari ini wisata ke balai kota. Mumpung gubernurnya masih pak ahok. Riang gembira dan gratis. Penuhnya luar biasa. #balaikotadki #AhokDjarot,wisata balai kota mumpung gubernur ahok riang gembira gratis penuh balaikotadki ahokdjarot
537,538,positive,Ahok-Djarot,Perlu IDE GILA #REDKARPET #LONGREDCARPET #LONGREDCARPETAhokDjarot #AhokDjarot,ide gila redkarpet longredcarpet longredcarpetahokdjarot ahokdjarot
538,539,positive,Ahok-Djarot,"Allah bersama orang2 yang benar, subhanallah.. #DKIJakarta #AhokDjarot #PemProvAmanah #PemenangdiHatiRakyat #Piss",allah orang subhanallah dkijakarta ahokdjarot pemprovamanah pemenangdihatirakyat piss
539,540,positive,Ahok-Djarot,"Unik, Karangan bunga untuk Gubernur DKI Jakarta, Badja Viral di Medsos, ini salah satunya ... #POLEMIKPaluHakim #DKIJakarta #AhokDjarot",unik karang bunga gubernur dki jakarta badja viral medsos salah satu polemikpaluhakim dkijakarta ahokdjarot
540,541,positive,Ahok-Djarot,Tuhan Memberkati #AhokDjarot,tuhan kati ahokdjarot
541,542,positive,Ahok-Djarot,"Tuhan sayang Jakarta & AhokDjarot karena AhokDjarot kalah saja mereka masih marah, AhokDjarot menang apa yg terjadi di Jakarta terima kasih.",tuhan sayang jakarta ahokdjarot ahokdjarot kalah marah ahokdjarot menang jakarta terima kasih
542,543,positive,Ahok-Djarot,"Kami sudah biasa dan tak bisa lepas dengan yang galak-galak. Kami sayang kamu, Pak #AhokDjarot",lepas galakgalak sayang ahokdjarot
543,544,positive,Ahok-Djarot,Lagi nongkrong ada yang masang karangan bunga. Dan ternyata tidak sampai monas aja tapi sampai Jogja! #AhokDjarot #BungaAhok #bungauntukahok,nongkrong pasang karang bunga monas jogja ahokdjarot bungaahok bungauntukahok
544,545,positive,Ahok-Djarot,Heboh papan bunga untuk pak ahok #pakahok #ahok #jakarta #dkijakarta #ahokdjarot #indonesia https://www.instagram.com/p/BTbroj0hnCS/,heboh papan bunga ahok pakahok ahok jakarta dkijakarta ahokdjarot indonesia
545,546,positive,Ahok-Djarot,#GombalinAhok kamu luar biasa pak begitu jahat ninggalin aku yg terlanjur sayang padamu #AhokDjarot ,gombalinahok jahat ninggalin lanjur sayang pada ahokdjarot
546,547,positive,Ahok-Djarot,Karangan bunga dan antrian foto bersama.... Il phenomenon baru kayaknya untuk seorg figur di indonesia #AhokDjarot,karang bunga antri foto il phenomenon kayak seorg figur indonesia ahokdjarot
547,548,positive,Ahok-Djarot,Dari Batam untuk #ahokdjarot. Tetap semangat pak! https://www.instagram.com/p/BTbYtzqAQI6jzioWGmCLAnPDLEUHoxYZ8BWolU0/,batam ahokdjarot semangat
548,549,positive,Ahok-Djarot,KARANGAN BUNGA ucapan TERIMAKASIH masyarakat ke Pak @basuki_btp & Pak @AhokDjarot sampai Monas #karanganbungaahok #telkomsel #AhokDjarot ,karang bunga ucap terimakasih masyarakat basuki btp ahokdjarot monas karanganbungaahok telkomsel ahokdjarot
549,550,positive,Ahok-Djarot,#ahok #djarot tetap di hatiku #pilkadadki,ahok djarot hati pilkadadki
550,551,positive,Ahok-Djarot,#ahok #ahokdjarot #pilgubdki #saveahok #temanahok Gusur demi jutaan rakyat http://infototorqq.blogspot.com,ahok ahokdjarot pilgubdki saveahok temanahok gusur juta rakyat
551,552,positive,Ahok-Djarot,"#ahok #saveahok #ahokdjarot #pilgubjkt Anies Unggul di Pemilih Muslim, Ahok Kaum Pendidikan Tinggi TotorQQ: http://www.infototorqq.com",ahok saveahok ahokdjarot pilgubjkt anies unggul pilih muslim ahok kaum didik totorqq
552,553,positive,Ahok-Djarot,#duajari #ahokdjarot #badja #salamduajari #duajari #kode #code #gangster #farmer #foodhero https://www.instagram.com/p/BS1x10_Bovd/,duajari ahokdjarot badja salamduajari duajari kode code gangster farmer foodhero
553,554,positive,Ahok-Djarot,"Sudahlah bikin pusing. Lagian @basuki_btp Sudah jawab dengan baik. tinggal semua tenang,konsentrasi,berdoa,selalu bahagia Untuk menang",bikin pusing basuki btp tinggal tenangkonsentrasiberdoaselalu bahagia menang
554,555,positive,Ahok-Djarot,Terima kasih atas doanya pa Kyai .. #voteahok #AniesSandi #pilkadaDKI #ahokdjarot,terima kasih doa pa kyai voteahok aniessandi pilkadadki ahokdjarot
555,556,positive,Ahok-Djarot,Kita jatuh cinta dengan gubernur yang tidak kita miliki. <Heart With Arrow> #PilkadaDKI #PilkadaDKI2017,jatuh cinta gubernur milik heart with arrow pilkadadki pilkadadki
556,557,positive,Ahok-Djarot,Betul tidak pak jokowi ? <Trophy> <Trophy> Oke lah ya pak basukibtp Dukung 100 % . . #pilkadadki #pilkadadki2017,jokowi trophy trophy oke ya basukibtp dukung pilkadadki pilkadadki
557,558,positive,Ahok-Djarot,Peach #pilkadadki #pilkada #pilkadadki2017 #pilkada2017 #ahok #ahokdjarot #ahokers  https://www.instagram.com/p/BTDYVuNAw,peach pilkadadki pilkada pilkadadki pilkada ahok ahokdjarot ahokers
558,559,positive,Ahok-Djarot,Kami sudah. #vote #pilkada #pilkadadki #pilkadadki2017 #ahokdjarot @ TPS 07 https://www.instagram.com/p/BTDSmEylbz8/,vote pilkada pilkadadki pilkadadki ahokdjarot tps
559,560,positive,Ahok-Djarot,Ayo coblos yang bijaksana untuk JAKARTA yang lebih baik  <Victory Hand>  #PilkadaDKI #PilkadaDKI2017 #PilkadaJakartaAman,ayo coblos bijaksana jakarta victory hand pilkadadki pilkadadki pilkadajakartaaman
560,561,positive,Ahok-Djarot,Bapak Presiden sudah bilang Pilkada DKI akan aman tohh  <Smiling Face With Sunglasses>  <Smiling Face With Sunglasses> ... #PilkadaDKI2017 @jokowi @JokowiAhokJKT,presiden bilang pilkada dki aman tohh smiling muka with sunglasses smiling muka with sunglasses pilkadadki jokowi jokowiahokjkt
561,562,positive,Ahok-Djarot,"Kekalahan Ahok ini disengaja, biar bisa sepaket dengan AHY pada Pilpres nanti <FACE WITH STUCK-OUT TOUNGES> <grining face with smile eye> <grining face with smile eye> <Smiling Face With Sunglasses> <Smiling Face With Sunglasses> #PilkadaDKI. #Ahokers jangan risau hahahahahaha",kalah ahok sengaja biar paket ahy pilpres muka with stuckout tounges grining muka with smile eye grining muka with smile eye smiling muka with sunglasses smiling muka with sunglasses pilkadadki ahokers risau hahahahahaha
562,563,positive,Ahok-Djarot,"Pak Anies sepertinya semakin banyak dapat respon negatif dari netizen.Makin emosi-an.AHY, tetap hafalan.Badja paling ok <Smiling Face With Sunglasses> <Smiling Face With Sunglasses> <Victory Hand>",anies respon negatif netizenmakin emosianahy hafalanbadja ok smiling muka with sunglasses smiling muka with sunglasses victory hand
563,564,positive,Ahok-Djarot,Kekalahan Basuki Tjahaja Purnama-Djarot Saiful Hidayat di Pilkada DKI Jakarta tidak mempengaruhi elektabilitas PDI <Victory Hand>,kalah basuki tjahaja purnamadjarot saiful hidayat pilkada dki jakarta pengaruh elektabilitas pdi victory hand
564,565,positive,Ahok-Djarot,"saya percaya, kondisi cuaca beberapa hari sebelum pilkada dki ikut serta memberikan kontribusi positif ke ahok-djarot. Aku 2!! <Victory Hand> <Victory Hand>",percaya kondisi cuaca pilkada dki kontribusi positif ahokdjarot victory hand victory hand
565,566,positive,Ahok-Djarot,"Bagi Tompi, Ahok-Djarot <Victory Hand> <Victory Hand> Lakukan Perubahan Positif, Nih Buktinya! #PilkadaDKI",tompi ahokdjarot victory hand victory hand laku ubah positif nih bukti pilkadadki
566,567,positive,Ahok-Djarot,"Positif, PDIP Usung Ahok-Djarot di Pilkada DKI 2017 <Victory Hand> - Suara Nasional http://fb.me/4WTHLLCNZ",positif pdip usung ahokdjarot pilkada dki victory hand suara nasional
567,568,positive,Ahok-Djarot,Kalah karena jujur lebih baik daripada menang karena curang <Heavy Check Mark> <Heavy Check Mark>. Initerjadi di pilkada DKi.Makanya masih iri tidak terima sama Ahok,kalah jujur menang curang heavy cek mark heavy cek mark initerjadi pilkada dkimakanya iri terima ahok
568,569,positive,Ahok-Djarot,KALAH PILKADA DKI AHOK DJAROT DAPAT KARANGAN BUNGA SIMPATI KARENA TERUJI DAN TERUKUR <Victory Hand> <Victory Hand> ANIES SANDI MENANG DAPAT BUNGA DP 0%,kalah pilkada dki ahok djarot karang bunga simpati uji ukur victory hand victory hand anies sandi menang bunga dp
569,570,positive,Ahok-Djarot,"Ahok-Djarot kalah dalam pilkada, tapi menang dalam menjaga integritas berdemokrasi Pancasila. Bangga! <SMILING FACE WITH HEART-EYES> #JakartaGubernurBaru #PilkadaDKI",ahokdjarot kalah pilkada menang jaga integritas demokrasi pancasila bangga smiling muka with hearteyes jakartagubernurbaru pilkadadki
